CÓDIGO DE GRUPO,NOMBRE DEL GRUPO,LÍDER DEL GRUPO,INSTITUCIONES QUE LO AVALAN,GRUPO RECONOCIDO,GRUPO INSCRITO PARA MEDICIÓN,CLASIFICACIÓN DEL GRUPO
COL0149744,GRUPO DE INVESTIGACIÓN EN CIENCIAS DE LA SALUD Y LA AGROINDUSTRIA (GINSA),SANDRA MILENA RODRIGUEZ PUERTA,SERVICIO NACIONAL DE APRENDI- ZAJE SENA; UNIVERSIDAD POPU- LAR DEL CESAR - UPC,,Sí,C
COL0176198,MEDICINA HOSPITALARIA,"OSCAR DAVID AGUI-
RRE OSPINA",SERVICIOS ESPE- CIALES DE SALUD,,No,Reconocido
COL0041778,"CALIDAD, SEGURIDAD Y EDUCACIÓN EN SALUD",LUZ MARIA GÓMEZ BUITRAGO,SOCIEDAD COLOMBIANA DE ANESTESIOLOGÍA Y REANIMACIÓN,,Sí,B
COL0171431,ANESTESIA CUIDADO CRÍ- TICO Y PERIOPERATORIO,JAVIER HERNANDO ESLAVA SCHMAL- BACH,SOCIEDAD COLOMBIANA DE ANESTESIOLOGÍA Y REANIMACIÓN,,Sí,C
COL0185437,INGENIERIA FISICA,JAIME ANDRÉS PÉ- REZ TABORDA,SOCIEDAD COLOMBIANA DE IN- GENIERÍA FÍSICA,,Sí,Reconocido
COL0137439,NUTRI-SOLLA,"LUIS MIGUEL GÓ-
MEZ OSORIO",SOLLA S. A.,,Sí,Reconocido
COL0138203,SOBIOTECH,OCTAVIO GONZA- LEZ MURILLO,SOLUCIONES BIO- TECNOLÓGICAS Y AGROAMBIENTA- LES,,Sí,C
COL0155527,SIIES-INVESTIGACIÓN Y EDUCACIÓN EN SALUD,CARLOS ALBERTO CASTRO MORENO,SOLUCIONES IN- TEGRALES PARA LA INVESTIGA- CION Y LA EDUCA- CION EN SALUD - SIIES CONSULTO- RES SAS,,Sí,C
COL0130887,"MATERIALES Y SISTEMAS DE CONSTRUCCIÓN CO-
RONA",JOHN FERNANDO CORREA URIBE,SUMICOL S.A.S; CORLANC S.A.S,,Sí,C
COL0131418,"GRUPO DE INVESTIGACIÓN INDUSTRIAL EN DISEÑO DE MATERIALES A PARTIR DE MINERALES Y PROCESOS
(IDIMAP)",DIANA CRISTINA ORTEGA PEREZ,SUMICOL S.A.S; MINERALES INDUSTRIALES S.A.,,Sí,B
COL0130484,"GRUPO DE INVESTIGACIÓN APLICADA EN LÍPIDOS -
TEAMFOODS",JOSÉ DANIEL COL- MENARES ARAQUE,TEAM FOODS COLOMBIA S.A.,,No,Reconocido
COL0018395,"INVESTIGACIÓN EN INGE-
NIERÍA, INNOVACIÓN Y EM- PRESARIALIDAD",JOSE RAMIRO BER- TIERI QUINTERO,TEAM INGENIERIA DE CONOCI- MIENTO LTDA,,No,Reconocido
COL0110481,GESTIÓN DE LA INNOVA- CIÓN Y EL DESARROLLO TECNOLÓGICO,JHON FREDY ESCO- BAR SOTO,TECKNOWLEDGE; SERVICIO NACIONAL DE APRENDI- ZAJE SENA,,Sí,C
COL0047539,"RED (RESEARCH AND EN-
TERPRISE DEVELOPMENT)","JORGE ANIBAL RES-
TREPO MORALES",TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,A
COL0068655,SENDEROS,"JORGE IVAN CO-
RREA ALZATE",TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,A
COL0140622,OBSERVATORIO PÚBLICO,"YULIANA GÓMEZ
ZAPATA",TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,B
COL0036114,"CIENCIAS FORENSES Y DE
LA SALUD","LUZ MIRYAM GÓ-
MEZ PIÑEREZ",TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,C
COL0151377,OBSERVATOS,"JORGE EMIRO RES-
TREPO CARVAJAL",TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,Reconocido
COL0173211,"BIOINFORMÁTICA SALUD Y
MEDIO AMBIENTE","CARLOS FEDERICO
MOLINA CASTAÑO",TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,Reconocido
COL0064404,"GRUPO DE INVESTIGACIÓN EN INGENIERÍA DE SOFT- WARE DEL TECNOLÓGICO
DE ANTIOQUIA-GIISTA",RICARDO DE JESÚS BOTERO TABARES,TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,B
COL0063793,"GRUPO DE INVESTIGACIÓN EN TEMAS AGROAMBIEN-
TALES - INTEGRA","JORGE IGNACIO MONTOYA RES-
TREPO",TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,C
COL0147893,"CIENCIAS BASICAS APLI- CADAS TECNOLOGICO AN-
TIOQUIA-CBATA-",MARÍA VICTORIA PARRA MARÍN,TECNOLÓGICO DE ANTIOQUIA - TDEA,,Sí,C
COL0160278,"INDEL: EQUIPO DE INGE- NIERÍA DE INVESTIGACIÓN Y DESARROLLO E-LER-
NOVA",KATHERINE STRIE- DINGER MELO,TECNOLÓGICO DE ENERGÍA E INNO- VACIÓN,,No,Reconocido
COL0160017,FARMA ID,"MAURICIO GOMEZ
NAVARRETE",TECNOQUIMICAS S.A.,,No,Reconocido
COL0162334,LUMON LV TECH,JUAN DIEGO LÓPEZ VARGAS,THINKING; LUMON SAS; LV CONSUL- TORES; INNOVA- DORES DE IDEAS Y PROYECTOS LTDA,,Sí,C
COL0014028,"MEDI-CIENCIAS RESEARCH
GROUP","FIDIAS E LEON-SAR-
MIENTO",UNICOLCIENCIAS,,Sí,Reconocido
COL0087991,"CIRINEO - NEUROREHABI-
LITACIÓN","JAIME BAYONA
PRIETO",UNICOLCIENCIAS,,No,Reconocido
COL0177112,GRUPO DE INVESTIGACIÓN AERONÁUTICA GINA,EDGAR LEONARDO GOMEZ GOMEZ,UNIDAD ADMINIS- TRATIVA ESPE- CIAL DE AERO- NÁUTICA CIVIL,,Sí,Reconocido
COL0037399,ENERGÍAS,WILLIAM BUITRAGO ARANA,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,C
COL0120782,"SALUD , CUIDADO Y  SO- CIEDAD",LUZ DAMARIS RO- JAS RODRIGUEZ,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,C
COL0038217,"GRUPO DE INVESTIGACION Y DESARROLLO EMPRESA-
RIAL ""GIDE""",SANDRA LUCIA AGUIRRE FRANCO,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,C
COL0038899,EDUCACIÓN Y CURRÍCULO,MARIA ELISA ÁLVA- REZ OSSA,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,C
COL0094341,GIGAE3D,ANDRES REY PIE- DRAHITA,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,C
COL0186407,"GRUPO DE INVESTIGACIÓN Y EDUCACIÓN EN CIEN-
CIAS DE LA SALUD-GIECSA",BEATRIZ GIRALDO OSPINA,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,C
COL0154323,"GRUPO DE INVESTIGACIÓN EN LINGÜÍSTICA APLICADA
- ILA",HEBERTH CAICEDO SALDAÑA,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,Reconocido
COL0037078,"GRUPO DE INVESTIGACIÓN EN RECURSOS NATURA- LES Y GESTIÓN AMBIEN-
TAL - TOLUES",MARÍA EUGENIA BUITRAGO GONZÁ- LEZ,UNIDAD CENTRAL DEL VALLE DEL CAUCA,,Sí,C
COL0072498,BIOMOLECULAS,BEATRIZ ARISTIZÁ- BAL BERNAL,UNIDAD DE INVES- TIGACIÓN GENÉ- TICA-MOLECULAR S.A.S,,Sí,C
COL0031234,"GRUPO DE INVESTIGACION
EN MEDIO AMBIENTE Y TE- RRITORIO GRIMAT",JORGE VIRGILIO RI- VERA GUTIERREZ,UNIDADES TECNO- LOGICAS DE SANTANDER,,Sí,C
COL0070939,"GRUPO DE INVESTIGACIÓN
EN NUEVAS TECNOLOGÍAS GNET",RICARDO ALVA- RADO JAIMES,UNIDADES TECNO- LOGICAS DE SANTANDER,,Sí,C
COL0064799,"GRUPO DE INVESTIGACION EN INGENIERIA DEL SOFT-
WARE - GRIIS",ROBERTO CARVA- JAL SALAMANCA,UNIDADES TECNO- LOGICAS DE SAN- TANDER,,Sí,C
COL0064843,"GRUPO DE INVESTIGACIÓN EN CONTROL AVANZADO-
GICAV","CARLOS HUM- BERTO ESPARZA
FRANCO",UNIDADES TECNO- LOGICAS DE SAN- TANDER,,Sí,C
COL0065036,"GRUPO DE INVESTIGACIÓN EN CIENCIAS SOCIOECO-
NÓMICAS - GICSE",ALBA PATRICIA GUZMAN DUQUE,UNIDADES TECNO- LOGICAS DE SAN- TANDER,,No,Reconocido
COL0137645,"UNIDAD DE INVESTIGA- CION EN FITOMEJORA- MIENTO DE PALMA DE
ACEITE",IVAN ERICK OCHOA CADAVID,UNIPALMA DE LOS LLANOS S.A.,,Sí,C
COL0009458,"GRUPO DE INVESTIGACIÓN
EN BIOINGENIERÍA (GIB) CES - EAFIT","SANTIAGO AL-
BERTO CORREA VÉ- LEZ",UNIVERSIDAD CES; UNIVERSI- DAD EAFIT,,Sí,A1
COL0045347,"GRUPO INTERDISCIPLINA-
RIO DE INVESTIGACION EN SALUD-ENFERMEDAD",CAROL YOVANNA ROSERO GALINDO,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0046237,GIOD,CRISTIAN JAVIER FONG REALES,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0046719,INGENIO INDUSPYMES,ANGÉLICA MARÍA SANTIS NAVARRO,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0047421,LA MINGA,TANIA GICELA BO- LAÑOS ENRIQUEZ,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0047655,CONTABILIDAD Y EN- TORNO SOCIAL,JOSÉ OBDULIO CURVELO HASSÁN,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0047889,GIOM,CONSTANZA ELENA DUQUE VÉLEZ,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0048213,"CIDU - CENTRO DE INVES-
TIGACIÓN DE LA DOCEN- CIA UNIVERSITARIA",PATRICIA POSSO RESTREPO,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0093979,GIOMET,RUTH ANGELA GÓ- MEZ SCARPETTA,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,B
COL0013512,"AGUA  Y DESARROLLO
SOSTENIBLE EN INGENIE- RÍA CIVIL - GRUPO AQUA",YELENA HERNAN- DEZ ATENCIA,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,C
COL0028613,GRUPO BOULOMAI,JACQUELINE BENA- VIDES DELGADO,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,C
COL0043692,GIPIS,CARLOS IGNACIO TORRES LONDONO,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,C
COL0045893,ESLINGA,AURA MARÍA RO- SERO ARTEAGA,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,C
COL0046872,ODONTOPOSTGRA- DOSUCC,"LINDA PIEDAD MA-
RISOL DELGADO PERDOMO",UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,C
COL0064816,CIENCIA Y PEDAGOGIA,LUCIA FERNANDA FERREL BALLESTAS,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,C
COL0115156,FAMILIA Y SOCIEDAD,ERIKA YOHANNA BEDOYA CARDONA,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,C
COL0003202,"GRUPO DE INVESTIGADO-
RES EN CIENCIAS SOCIA- LES Y JURÍDICAS GICSOJ",WILSON MIGUEL SALAS PICÓN,UNIVERSIDAD COOPERATIVA DE COLOMBIA,,Sí,Reconocido
COL0042864,GINIC-HUS,"LUIS JAVIER MARTI-
NEZ GUERRERO",UNIVERSIDAD ECCI,,Sí,B
COL0102514,INNOVACIÓN PEDAGÓGICA,"MARIA LUCERO SO-
LER LOPEZ",UNIVERSIDAD ECCI,,Sí,C
COL0134017,"GESTION AMBIENTAL Y
DESARROLLO SOSTENIBLE","ANDRÉS FELIPE
MOLANO GUARÍN",UNIVERSIDAD ECCI,,Sí,C
COL0012168,"INVERSION, FINANCIACION
Y CONTROL","YENY ESPERANZA
RODRIGUEZ RAMOS",UNIVERSIDAD ICESI,,Sí,A1
COL0080435,PRECEDENTE,"YESID ECHEVERRY
ENCISO",UNIVERSIDAD ICESI,,Sí,A1
COL0093872,NATURA,"THAURA GHNEIM
HERRERA",UNIVERSIDAD ICESI,,Sí,A1
COL0013254,LEONARDO,"JUAN MANUEL SA-
LAMANCA GARCIA",UNIVERSIDAD ICESI,,Sí,A
COL0002027,ESPÍRITU EMPRESARIAL,"RODRIGO VARELA
VILLEGAS",UNIVERSIDAD ICESI,,Sí,B
COL0187146,MODELADO Y SIMULACIÓN EN INDUSTRIA,JORGE AURELIO HERRERA CUARTAS,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A1
COL0059299,"GENETICA, BIOLOGIA MO-
LECULAR & BIOINFORMA- TICA","JAVIER ADOLFO
HERNÁNDEZ FER- NÁNDEZ",UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A
COL0076263,FUNDAMENTOS Y DIDÁC- TICA DE LAS CIENCIAS,FAVIO ERNESTO CALA VITERY,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0024051,"GENETICA, FISIOLOGIA Y METABOLISMO",MONICA CHÁVEZ VI- VAS,UNIVERSIDAD SANTIAGO DE CALI - USC,,Sí,C
COL0027062,"MODELADO-ELECTRÓ-
NICA-MONITOREO: MEM","EDWIN FRANCISCO
FORERO GARCÍA",UNIVERSIDAD SANTO TOMÁS,,Sí,A1
COL0028112,RAIMUNDO DE PEÑAFORT,"CARLOS ALBERTO
CÁRDENAS SIERRA",UNIVERSIDAD SANTO TOMÁS,,Sí,A
COL0030193,"CUERPO, SUJETO Y EDU-
CACION","DIANA ALEXANDRA
CAMARGO ROJAS",UNIVERSIDAD SANTO TOMÁS,,Sí,A
COL0044297,"DERECHO PÚBLICO ""FRAN-
CISCO DE VITORIA""","ALEJANDRO GÓMEZ
JARAMILLO",UNIVERSIDAD SANTO TOMÁS,,Sí,A
COL0057689,"INVESTIGACION EDUCA-
TIVA","JESÚS ANTONIO
QUIÑONES",UNIVERSIDAD SANTO TOMÁS,,Sí,A
COL0064262,"INVESTIGACIÓN SOCIO HU-
MANÍSTICA DEL DERECHO","DALIA CARREÑO
DUEÑAS",UNIVERSIDAD SANTO TOMÁS,,Sí,A
COL0065241,"ESTUDIOS EN DERECHO
PRIVADO","ALVARO HERNAN
MORENO DURÁN",UNIVERSIDAD SANTO TOMÁS,,Sí,A
COL0121162,"EDUCACIÓN, DERECHOS
HUMANOS Y CIUDADANÍA","CLAUDIA DEL PILAR
VELEZ DE LA CALLE",UNIVERSIDAD SANTO TOMÁS,,Sí,A
COL0001173,"PSICOLOGÍA, FAMILIA Y
REDES","AIDA MILENA CA-
BRERA LOZANO",UNIVERSIDAD SANTO TOMÁS,,Sí,B
COL0003374,ECONOMÍA Y HUMANISMO,"OSCAR HERNÁN
ARCOS PALMA",UNIVERSIDAD SANTO TOMÁS,,Sí,B
COL0032625,INVTEL,"MONICA ESPINOSA
BUITAGO",UNIVERSIDAD SANTO TOMÁS,,Sí,B
COL0067228,"CONFLICTOS SOCIALES,
GÉNERO Y TERRITORIOS","FRANCOIS XAVIER
TINEL",UNIVERSIDAD SANTO TOMÁS,,Sí,B
COL0069231,"PSICOLOGÍA, CICLO VITAL
Y DERECHOS","JORGE MARIO JA-
RAMILLO PEREZ",UNIVERSIDAD SANTO TOMÁS,,Sí,B
COL0082707,USTADÍSTICA,"ANDRES FELIPE
ORTIZ RICO",UNIVERSIDAD SANTO TOMÁS,,Sí,B
COL0019955,"CIENCIA E INGENIERIA DE
MATERIALES","FABIO CASTILLEJO
NIETO",UNIVERSIDAD SANTO TOMÁS,,Sí,C
COL0026065,"FRAY ANTÓN DE MONTESI-
NOS","OFELIA ROS
MATTURRO",UNIVERSIDAD SANTO TOMÁS,,Sí,C
COL0061233,"PROTECCIÓN SOCIAL Y
SALUD PÚBLICA","DEISY JEANNETTE
ARRUBLA SÁNCHEZ",UNIVERSIDAD SANTO TOMÁS,,Sí,C
COL0113483,ALETHEIA,"JUAN ALEXIS PA-
RADA SILVA",UNIVERSIDAD SANTO TOMÁS,,Sí,C
COL0116369,GRUPO IESHFAZ,"FABIÁN LEONARDO
BENAVIDES SILVA",UNIVERSIDAD SANTO TOMÁS,,Sí,C
COL0042532,USTA-LEARNING,"MARIA XIMENA RO-
JAS",UNIVERSIDAD SANTO TOMÁS,,Sí,Reconocido
COL0044958,"ACBI ""AMBIENTAL, CIVIL Y
CIENCIAS BÁSICAS EN IN- VESTIGACIÓN""",CARLOS ANDRÉS CARO CAMARGO,UNIVERSIDAD SANTO TOMÁS - TUNJA,,Sí,B
COL0037318,LUMEN,LILIANA BEATRIZ IRIZAR,UNIVERSIDAD SERGIO ARBO- LEDA,,Sí,A
COL0058819,COMUNICACIÓN Y SOCIE- DAD,KATHERINE PAOLA CASTRO MOLINA,UNIVERSIDAD SERGIO ARBO- LEDA,,Sí,A
COL0095008,GRUPO DE ANÁLISIS POLÍ- TICO (GAP),RODRIGO LOSADA LORA,UNIVERSIDAD SERGIO ARBO- LEDA,,Sí,A
COL0023099,"DE LAS CASAS (GRUPO IN-
VESTIGATIVO EN DERE- CHOS HUMANOS",CARLOS ALBERTO PARRA DUSSAN,UNIVERSIDAD SERGIO ARBO- LEDA,,Sí,B
COL0137429,IDEASA-MEDIO AMBIENTE Y SOSTENIBILIDAD,ANGELA MARÍA PLATA RANGEL,UNIVERSIDAD SERGIO ARBO- LEDA,,Sí,B
COL0007749,"GRUPO DE AUTOMATIZA-
CIÓN INDUSTRIAL Y CON- TROL - GAICO",JOSÉ LUIS VILLA RAMIREZ,UNIVERSIDAD TECNOLÓGICA DE BOLÍVAR,,Sí,A1
COL0101357,GRAVITACIÓN Y MATEMÁ- TICA APLICADA,"ANTONIO CALIXTO
GUTIÉRREZ PIÑE- RES",UNIVERSIDAD TECNOLÓGICA DE BOLÍVAR,,Sí,C
COL0023742,"GRUPO DE INVESTIGACIÓN
EN ESTUDIOS SOCIALES Y HUMANÍSTICOS",MIGUEL EFREN GARCÉS PRETTEL,UNIVERSIDAD TECNOLÓGICA DE BOLÍVAR,,No,Reconocido
COL0180717,GRUPO DE INVESTIGACIÓN EN JUSTICIA GLOBAL,IVÁN VARGAS CHA- VES,UNIVERSIDAD TECNOLÓGICA DE BOLÍVAR,,No,Reconocido
COL0012749,INVESTIGACIÓN EN EDU- CACIÓN Y PEDAGOGÍA,"MARÍA VICTORIA
ALZATE PIE- DRAHITA",UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,A
COL0020339,AGUA Y SANEAMIENTO,DIEGO PAREDES CUERVO,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,A
COL0025979,ELECTRÓNICA DE POTEN- CIA,ALFONSO ALZATE GÓMEZ,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,A
COL0068216,"PROCESOS DE MANUFAC-
TURA Y DISEÑO DE MÁQUI- NAS",HÉCTOR FABIO QUINTERO RIAZA,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,A
COL0079917,"ECOLOGÍA, INGENIERÍA Y SOCIEDAD",JUAN MAURICIO CASTAÑO ROJAS,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,A
COL0002859,AUTOMÁTICA,"ÁLVARO ÁNGEL
OROZCO GUTIÉ- RREZ",UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,B
COL0003383,DESARROLLO HUMANO Y ORGANIZACIONAL,SANDRA ESTRADA MEJÍA,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,B
COL0056939,"GESTIÓN DE SISTEMAS
ELÉCTRICOS, ELECTRÓNI- COS Y AUTOMÁTICOS",MAURICIO HOLGUÍN LONDOÑO,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,B
COL0007829,GRUPO DE BIOTECNOLOGÍA-PRODUCTOS NATURALES,"OSCAR MARINO
MOSQUERA MARTÍ- NEZ",UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0008094,GEIO GRUPO EN LA ENSEÑANZA DE LA INVESTIGACIÓN DE OPERACIONES,WILSON ARENAS VALENCIA,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0021597,BASICO-CLINICA Y APLICA- DAS,CARLOS EDUARDO NIETO GARCÍA,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0025246,GRAVITACIÓN Y TEORÍAS UNIFICADAS,JOHN QUIROGA HURTADO,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0026029,"PLASMA, LÁSER Y APLICA- CIONES",HENRY RIASCOS LANDÁZURI,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0056387,L'H,OSCAR SALA- MANCA ANGARITA,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0080865,ESTADÍSTICA E INVESTIGA- CIÓN SOCIAL (ISE),JOSE RUBIEL BE- DOYA SÁNCHEZ,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0100037,"GRUPO DE INVESTIGACIÓN
EN FOTOCATÁLISIS Y ES- TADO SÓLIDO (GIFES)","HOOVER ALBEIRO
VALENCIA SÁN- CHEZ",UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0135954,"GRUPO DE ECUACIONES
DIFERENCIALES Y APLICA- CIONES (GREDYA)",ALEXÁNDER GUTIÉ- RREZ GUTIÉRREZ,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,C
COL0140462,ESTUDIOS POLÍTICOS Y JURÍDICOS,ALVARO DÍAZ GÓ- MEZ,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP,,Sí,Reconocido
COL0052163,"GISSIC: GRUPO DE INVES- TIGACION EN SEGURIDAD Y SISTEMAS DE COMUNI-
CACIONES",EDWARD PAUL GUI- LLÉN PINTO,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,A
COL0068762,GAV,DARIO AMAYA HUR- TADO,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,A
COL0028918,GRUPO DE DERECHO PÚ- BLICO,JAIME ALBERTO SANDOVAL MESA,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,B
COL0031959,"GRUPO DE INVESTIGACIÓN EN BIODIVERSIDAD Y ECO- LOGÍA DE ABEJAS SILVES-
TRES",JOSÉ RICARDO CURE HAKIM,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,B
COL0066768,ESTUDIOS INTERNACIONA- LES Y POLÍTICOS,RAFAT AHMED GHOTME GHOTME,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,B
COL0101099,HUMANITAS,MANUEL DE JESÚS LOSADA SIERRA,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,B
COL0005439,GEOTECNIA,OSCAR JAVIER RE- YES ORTIZ,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0016999,ESTRUCTURAS Y SÍSMICA,JULIAN CARRILLO LEON,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0026486,TRATAMIENTO DE AGUA,TATIANA RODRÍ- GUEZ CHAPARRO,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0027367,GRUPO DE ESTUDIOS MA- CROECONÓMICOS,CAROLINA SILVA ARIAS,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0028687,FITOPLASMAS Y VIRUS,LILIANA FRANCO LARA,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0036749,ACCEDER,HILDA MARCELA IREGUI GUERRERO,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0038084,"BIO-ECOLOGY  ""ICTIOLO- GÍA""",NELSY ROCIO PINTO SÁNCHEZ,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0039321,MATRIX,ADRIAN RICARDO GOMEZ PLATA,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0044859,GRUPO DE INVESTIGACIÓN EN MULTIMEDIA -GIM-,WILSON JAVIER SARMIENTO MANRI- QUE,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0047566,"INGENIERÍA, GEOMÁTICA Y EDUCACIÓN (IGE)",LUZ YOLANDA MO- RALES MARTÍN,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0048492,GRUPO DE INVESTIGACIÓN EN HIDROBIOLOGÍA APLI- CADA (HIDROBIA),RAÚL HERNANDO LÓPEZ PERALTA,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0049999,"PRODUCCION, INNOVA- CION Y TECNOLOGIA",ÁLVARO CHÁVEZ PORRAS,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0050294,GRUPO DE ESTUDIOS EN CIENCIAS ECONÓMICAS - CIE,ENRIQUE HURTADO AGUIRRE,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0052181,"TIGUM: GRUPO DE INVES- TIGACION EN TELEMEDI- CINA UNIVERSIDAD MILI-
TAR",LEONARDO JUAN RAMÍREZ LÓPEZ,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0066229,"PIREO ""PROCESOS DE IN- TEGRACIÓN, REGIONALI- ZACIÓN Y ESTRUCTURAS
ORGANIZACIONALES""",ANA MILENA MO- LINA BELTRÁN,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0066669,"SOCIEDAD, ESTRATEGIA Y SEGURIDAD",JORGE ISAZA QUE- BRADA,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0067504,"MEDIOS, MEDIACIONES Y PROCESOS EN EDUCA- CIÓN A DISTANCIA",JOSE COGOLLO RINCON,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0069296,MODELOS DE SIMULACIÓN ICDIST,LUIS ANGEL MO- RENO ANSELMI,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0077814,AGROBIOLOGÍA DE ESPE- CIES VEGETALES PROMI- SORIAS DE CLIMA FRÍO,MARIA MERCEDES PEREZ TRUJILLO,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0086179,FITOPATOLOGIA MOLECU- LAR,JUAN JOSE FIL- GUEIRA DUARTE,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0096032,BIOGENETICA & BIODERE- CHO,ORIETTA IVONNE BELTRAN CASAS,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
